Cycles;F1.1
1;-0,023233401
2;-0,013727978
3;-0,006690385
4;-0,001941566
5;0,01003947
6;0,01232046
7;0,018213666
8;0,022581022
9;0,025243474
10;0,030000078
11;0,032086444
12;0,04178649
13;0,047485072
14;0,054522666
15;0,069921294
16;0,091788073
17;0,139408789
18;0,224105466
19;0,394911796
20;0,704068539
21;1,264304376
22;2,27476058
23;3,776694945
24;5,721834167
25;7,663969104
26;9,041018285
27;9,924952711
28;10,4374773
29;10,7737396
30;10,94987074
31;11,06187074
32;11,11642812
33;11,14119901
34;11,23248368
35;11,18920216
36;11,27576521
37;11,30448841
38;11,27576521
39;11,20356375
40;11,26612523
41;11,24212366
42;11,2372053
43;11,20848211
44;11,18920216
45;11,17484056
46;11,16028223
47;11,06742316
48;11,08276923
49;11,12097781
